DATE,S/N,PO NUMBER,COMPANY,CATEGORY,ITEM,QUANTITY REQUESTED,SUPPLIER'S PRICE,TOTAL ACTUAL AMOUNT,NAM UNIT PRICE,TOTAL NAM AMOUNT,TOTAL NAM AMOUNT SUB TOTAL,INCOME,INCOME PERCENT,BUYER,DATE DELIVERED,PAYMENT TERM,DUE DATE,SI NUMBER, REMARKS,SUPPLIER,ADDRESS,TIN,CONTACT PERSON/CONTACT #,,
02/02/2026,006,ADMMPO-2026-002-005,COVAC,OFFICE SUPPLIES,JOY STICKER PAPER A4 (WHITE),5, ₱ 35.00 , ₱ 175.00 , ₱ 40.50 , ₱ 202.50 ,, ₱ 27.50 ,14%,ANN,02/10/2026,30,03/12/2026,0907,,,,,,,
,,,,,,,,,,, ₱ 202.50 , ₱ -   ,,,,,,,,,,,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,ALBATROSS 100G REFILL ONLY (LEMON/SWEET MARMALADE),3, ₱ 57.00 , ₱ 171.00 , ₱ 72.00 , ₱ 216.00 ,, ₱ 45.00 ,21%,IVY,02/04/2026,30,03/06/2026,0798,,WRAP & CARRY,TANAUAN,137-827-797-00000,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,DISHWASING LIQ 1 GAL.,1, ₱ 108.00 , ₱ 108.00 , ₱ 176.00 , ₱ 176.00 ,, ₱ 68.00 ,39%,IVY,02/04/2026,30,03/06/2026,0798,,,,,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,GARBAGE BAG L 100S,1, ₱ 220.00 , ₱ 220.00 , ₱ 370.00 , ₱ 370.00 ,, ₱ 150.00 ,41%,IVY,02/04/2026,30,03/06/2026,0798,,VISPO,TANAUAN,180-239-753-00001,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,GARBAGE BAG XXL,1, ₱ 460.00 , ₱ 460.00 , ₱ 637.00 , ₱ 637.00 ,, ₱ 177.00 ,28%,IVY,02/04/2026,30,03/06/2026,0798,,VISPO,TANAUAN,180-239-753-00001,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,GARBAGE BAG XL,1, ₱ 220.00 , ₱ 220.00 , ₱ 507.00 , ₱ 507.00 ,, ₱ 287.00 ,57%,IVY,02/04/2026,30,03/06/2026,0798,,VISPO,TANAUAN,180-239-753-00001,,,
02/03/2026,007,SLP-NAM-26-007,ENSLP INC.,CLEANING / JANITORIAL MATERIALS,WHITE ROUND RAGS,5, ₱ 60.00 , ₱ 300.00 , ₱ 72.00 , ₱ 360.00 ,, ₱ 60.00 ,17%,IVY,02/04/2026,30,03/06/2026,0798,,,,,,,
,,,,,,,,,,," ₱ 2,266.00 ",,,,,,,,,,,,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,BONDPAPER A4 SIAE - SMARTIST,20, ₱ 152.00 ," ₱ 3,040.00 ", ₱ 204.00 ," ₱ 4,080.00 ",," ₱ 1,040.00 ",25%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,BNEWS PRINT VAN HAWK A4,5, ₱ 106.00 , ₱ 530.00 , ₱ 135.00 , ₱ 675.00 ,, ₱ 145.00 ,21%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,MATTE STICKER PAPER JOY,5, ₱ 35.00 , ₱ 175.00 , ₱ 40.00 , ₱ 200.00 ,, ₱ 25.00 ,13%,IVY,02/04/2026,30,03/06/2026,0800,,GOLDEN FORMOSA,TANAUAN,293-241-003-00,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,TIME CARD MODEL 9000/VALLIANT 100S,2, ₱ 80.00 , ₱ 160.00 , ₱ 108.00 , ₱ 216.00 ,, ₱ 56.00 ,26%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,EXPANDABLE FOLDER BLUE SHORT,20, ₱ 20.00 , ₱ 400.00 , ₱ 23.40 , ₱ 468.00 ,, ₱ 68.00 ,15%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,EXPANDABLE FOLDER BLUE LONG,30, ₱ 20.00 , ₱ 600.00 , ₱ 25.00 , ₱ 750.00 ,, ₱ 150.00 ,20%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,HBW MATRIX BLACK PEN,20, ₱ 4.20 , ₱ 84.00 , ₱ 6.92 , ₱ 138.40 ,, ₱ 54.40 ,39%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,SHORT BROWN ENVELOPE,20, ₱ 1.80 , ₱ 36.00 , ₱ 2.00 , ₱ 40.00 ,, ₱ 4.00 ,10%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,LONG BROWN ENVELOPE,15, ₱ 1.40 , ₱ 21.00 , ₱ 3.25 , ₱ 48.75 ,, ₱ 27.75 ,57%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,NOTEBOOK SPIRAL,10, ₱ 13.00 , ₱ 130.00 , ₱ 18.00 , ₱ 180.00 ,, ₱ 50.00 ,28%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,DONG A MY GEL PEN BLACK 0.5MM,6, ₱ 20.00 , ₱ 120.00 , ₱ 23.00 , ₱ 138.00 ,, ₱ 18.00 ,13%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,SIGN ERE STICKER,2,, ₱ -   , ₱ 100.00 , ₱ 200.00 ,, ₱ 200.00 ,100%,IVY,02/04/2026,30,03/06/2026,0800,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,CONSUMABLES / PACKAGING / INDUSTRIAL SUPPLIES,TESA DOUBLE SIDED TAPE,2,, ₱ -   , ₱ 172.90 , ₱ 345.80 ,, ₱ 345.80 ,100%,IVY,2/10/2026,30,3/12/2026,0202,,PAMCO,,352-135-887-000,,,
02/03/2026,008,SLP-NAM-26-008,ENSLP INC.,OFFICE SUPPLIES,8 1/2 COIN ENVELOP,1,, ₱ -   , ₱ 320.00 , ₱ 320.00 ,, ₱ 320.00 ,100%,IVY,,,0,,,SHOPEE,,,,,
,,,,,,,,,,," ₱ 7,799.95 ",,,,,,,,,,,,,,
02/03/2026,009,ADMMPO-2026-002-006,COVAC,OFFICE SUPPLIES,HARDCOPY A4,10, ₱ 138.00 ," ₱ 1,380.00 ", ₱ 205.00 ," ₱ 2,050.00 ",, ₱ 670.00 ,33%,ANN,02/10/2026,30,03/12/2026,0901,,,,,,,
02/03/2026,009,ADMMPO-2026-002-006,COVAC,OFFICE SUPPLIES,STAPLE WIRE NO. 35 TIGER,1, ₱ 22.00 , ₱ 22.00 , ₱ 32.40 , ₱ 32.40 ,, ₱ 10.40 ,32%,ANN,02/10/2026,30,03/12/2026,0901,,,,,,,
02/03/2026,009,ADMMPO-2026-002-006,COVAC,OFFICE SUPPLIES,GREEN EXPANDABLE FOLDER SHORT,20, ₱ 13.00 , ₱ 260.00 , ₱ 16.00 , ₱ 320.00 ,, ₱ 60.00 ,19%,ANN,02/10/2026,30,03/12/2026,0901,,,,,,,
02/03/2026,009,ADMMPO-2026-002-006,COVAC,OFFICE SUPPLIES,"DOUBLE SIDED TAPE 1""",2, ₱ 20.00 , ₱ 40.00 , ₱ 27.00 , ₱ 54.00 ,, ₱ 14.00 ,26%,ANN,02/10/2026,30,03/12/2026,0901,,,,,,,
02/03/2026,009,ADMMPO-2026-002-006,COVAC,OFFICE SUPPLIES,WHITEBOARD MARKER (BLACK),2, ₱ 20.00 , ₱ 40.00 , ₱ 28.35 , ₱ 56.70 ,, ₱ 16.70 ,29%,ANN,02/10/2026,30,03/12/2026,0901,,,,,,,
,,,,,,,,,,," ₱ 2,513.10 ",,,,,,,,,,,,,,
02/03/2026,010,ADMMPO-2026-002-007,COVAC,OFFICE SUPPLIES,ARCH FILE A4,10, ₱ 80.00 , ₱ 800.00 , ₱ 101.25 ," ₱ 1,012.50 ",, ₱ 212.50 ,21%,ANN,,,0,,,,,,,,
,,,,,,,,,,," ₱ 1,012.50 ",,,,,,,,,,,,,,
02/03/2026,011,3494581,LITTELFUSE,FURNITURE / FIXTURES / FIXED ASSETSS,OFFICE CHAIR (SPECIAL PROJECT),20," ₱ 2,240.00 "," ₱ 44,800.00 "," ₱ 3,215.00 "," ₱ 64,300.00 ",," ₱ 19,500.00 ",30%,HANNAH,,,0,,,,,,,,
,,,,,,,,,,," ₱ 64,300.00 ",,,,,,,,,,,,,,
02/03/2026,012,,SUMOPAK,MATERIALS / MAINTENANCE / MECHANICAL / HARDWARE,PRESSURE GAUGE,4," ₱ 10,500.00 "," ₱ 42,000.00 "," ₱ 11,220.00 "," ₱ 44,880.00 ",," ₱ 2,880.00 ",6%,ANN,,,0,,,,,,,,
,,,,,,,,,,," ₱ 44,880.00 ",,,,,,,,,,,,,,
02/04/2026,013,2026-00056,ASTI,CONSUMABLES / PACKAGING / INDUSTRIAL SUPPLIES,"PACKAGING TAPE 2""",50, ₱ 32.00 ," ₱ 1,600.00 ", ₱ 48.00 ," ₱ 2,400.00 ",, ₱ 800.00 ,33%,IVY,02/04/2026,30,03/06/2026,0796,,,,,,,
,,,,,,,,,,," ₱ 2,400.00 ",,,,,,,,,,,,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,CLEARSHEET A4,3, ₱ 130.00 , ₱ 390.00 , ₱ 150.00 , ₱ 450.00 ,, ₱ 60.00 ,13%,IVY,02/09/2026,30,03/11/2026,0892,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,EPSON INK 001 BLACK,2, ₱ 295.00 , ₱ 590.00 , ₱ 600.00 ," ₱ 1,200.00 ",, ₱ 610.00 ,51%,IVY,02/09/2026,30,03/11/2026,0892,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,FLASH DRIVE 128GB,2, ₱ 710.00 ," ₱ 1,420.00 ", ₱ 984.00 ," ₱ 1,968.00 ",, ₱ 548.00 ,28%,IVY,,,0,,,,,,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,FOLDER GREEN A4/SHORT,26, ₱ 13.00 , ₱ 338.00 , ₱ 13.31 , ₱ 346.06 ,, ₱ 8.06 ,2%,IVY,02/09/2026,30,03/11/2026,0892,,VISPO,,180-239-753-00001,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,GARBAGE BAG LARGE 100'S,4, ₱ 220.00 , ₱ 880.00 , ₱ 264.00 ," ₱ 1,056.00 ",, ₱ 176.00 ,17%,IVY,02/09/2026,30,03/11/2026,0892,,VISPO,,180-239-753-00001,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,GARBAGE BAG MEDIUM 100'S,5, ₱ 140.00 , ₱ 700.00 , ₱ 168.00 , ₱ 840.00 ,, ₱ 140.00 ,17%,IVY,02/09/2026,30,03/11/2026,0892,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,GLUE STICK BIG,6, ₱ 8.00 , ₱ 48.00 , ₱ 24.00 , ₱ 144.00 ,, ₱ 96.00 ,67%,IVY,02/09/2026,30,03/11/2026,0892,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,ID CLIP METAL,76, ₱ 1.60 , ₱ 121.60 , ₱ 2.40 , ₱ 182.40 ,, ₱ 60.80 ,33%,IVY,02/09/2026,30,03/11/2026,0892,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,PERMANENT MARKER BLACK,5, ₱ 10.00 , ₱ 50.00 , ₱ 10.00 , ₱ 50.00 ,, ₱ -   ,0%,IVY,02/09/2026,30,03/11/2026,0892,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,RAGS ASSORTED,25, ₱ 42.00 ," ₱ 1,050.00 ", ₱ 75.00 ," ₱ 1,875.00 ",, ₱ 825.00 ,44%,IVY,02/09/2026,30,03/11/2026,0892,,,,,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,RUBBER BAND,2, ₱ 30.00 , ₱ 60.00 , ₱ 42.35 , ₱ 84.70 ,, ₱ 24.70 ,29%,IVY,02/09/2026,30,03/11/2026,0892,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,RULER,4, ₱ 20.00 , ₱ 80.00 , ₱ 25.00 , ₱ 100.00 ,, ₱ 20.00 ,20%,IVY,02/09/2026,30,03/11/2026,0892,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,SCISSOR BIG,4, ₱ 26.00 , ₱ 104.00 , ₱ 60.00 , ₱ 240.00 ,, ₱ 136.00 ,57%,IVY,02/09/2026,30,03/11/2026,0892,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,CONSUMABLES / PACKAGING / INDUSTRIAL SUPPLIES,"SCOTCH TAPE 1"" BIG",21, ₱ 12.00 , ₱ 252.00 , ₱ 18.00 , ₱ 378.00 ,, ₱ 126.00 ,33%,IVY,02/09/2026,30,03/11/2026,0893,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,CONSUMABLES / PACKAGING / INDUSTRIAL SUPPLIES,"SCOTH TAPE 1"" SMALL",19, ₱ 12.00 , ₱ 228.00 , ₱ 18.00 , ₱ 342.00 ,, ₱ 114.00 ,33%,IVY,02/09/2026,30,03/11/2026,0893,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,STICKY NOTES SIGN HERE,3, ₱ 32.00 , ₱ 96.00 , ₱ 60.00 , ₱ 180.00 ,, ₱ 84.00 ,47%,IVY,02/09/2026,30,03/11/2026,0893,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,STICKY NOTES 3X3 HBW,2, ₱ 15.00 , ₱ 30.00 , ₱ 18.00 , ₱ 36.00 ,, ₱ 6.00 ,17%,IVY,02/09/2026,30,03/11/2026,0893,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,TAPE DISPENSER BIG,2, ₱ 80.00 , ₱ 160.00 , ₱ 96.00 , ₱ 192.00 ,, ₱ 32.00 ,17%,IVY,02/09/2026,30,03/11/2026,0893,,PAMCO,,352-135-887-000,,,
02/04/2026,014,2026-00054,ASTI,OFFICE SUPPLIES,BLACK HBW WHITEBOARD MARKER,10, ₱ 20.00 , ₱ 200.00 , ₱ 25.20 , ₱ 252.00 ,, ₱ 52.00 ,21%,IVY,02/09/2026,30,03/11/2026,0893,,PAMCO,,352-135-887-000,,,
