 DATE,S/N,PO NUMBER,COMPANY,CATEGORY,ITEM,QUANTITY REQUESTED,SUPPLIER'S PRICE,TOTAL ACTUAL AMOUNT,NAM UNIT PRICE,TOTAL NAM AMOUNT,TOTAL NAM AMOUNT SUB TOTAL,INCOME,INCOME PERCENT,,DATE DELIVERED,PAYMENT TERM,DUE DATE,SI NUMBER, REMARKS,SUPPLIER,ADDRESS,TIN,SALES INVOICE NO.,CONTACT PERSON/CONTACT #
,,,,,,,,,,," ₱ 1,000.00 ",,,,,,,,,,,,,
01/08/2026,011,PO-25110600047,KINPO-LIMA,OFFICE SUPPLY,DOUBLE SIDED TAPE FOAM,50, ₱ 64.00 ," ₱ 3,200.00 ", ₱ 75.00 ," ₱ 3,750.00 ",, ₱ 550.00 ,15%,,,,,,,,,,,
,,,,,,,,,,," ₱ 3,750.00 ",,,,,,,,,,,,,
01/09/2026,012,PO-25120100008,KINPO-FPIP,CONSUMABLES,COLORED ROUND RAGS,20, ₱ 42.00 , ₱ 840.00 , ₱ 50.00 ," ₱ 1,000.00 ",, ₱ 160.00 ,16%,,,,,,,,,,,
,,,,,,,,,,," ₱ 1,000.00 ",,,,,,,,,,,,,
01/09/2026,013,PO-25110600047,KINPO-FPIP,OFFICE SUPPLY,DOUBLE SIDED TAPE FOAM,50, ₱ 56.00 ," ₱ 2,800.00 ", ₱ 75.00 ," ₱ 3,750.00 ",, ₱ 950.00 ,25%,,,,,,,,,,,
,,,,,,,,,,," ₱ 3,750.00 ",,,,,,,,,,,,,
01/12/2026,014,,SABPPTECH,COMPANY UNIFORM,REFLECTORIZED LONG SLEEVES,50, ₱ 193.00 ," ₱ 9,650.00 ", ₱ 260.00 ," ₱ 13,000.00 ",," ₱ 3,350.00 ",26%,,,,,,,,,,,
,,,,,,,,,,," ₱ 13,000.00 ",,,,,,,,,,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,DOUBLE SIDED TAPE,5, ₱ 18.00 , ₱ 90.00 , ₱ 21.00 , ₱ 105.00 ,, ₱ 15.00 ,14%,,01/24/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,BALLPEN FABER CASTEL BLACK,45, ₱ 4.00 , ₱ 180.00 , ₱ 5.40 , ₱ 243.00 ,, ₱ 63.00 ,26%,,01/24/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,PERMANENT TWIN MARKER BLACK,2, ₱ 10.00 , ₱ 20.00 , ₱ 12.50 , ₱ 25.00 ,, ₱ 5.00 ,20%,,01/20/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,STAMP PAD INK BLUE 50cc,5, ₱ 20.00 , ₱ 100.00 , ₱ 21.25 , ₱ 106.25 ,, ₱ 6.25 ,6%,,01/20/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,FOLDER WHITE LONG,5, ₱ 3.80 , ₱ 19.00 , ₱ 4.63 , ₱ 23.15 ,, ₱ 4.15 ,18%,,,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,STAPLE WIRE #35,2, ₱ 27.00 , ₱ 54.00 , ₱ 30.00 , ₱ 60.00 ,, ₱ 6.00 ,10%,,,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,DOUBLE SIDED TAPE ,30, ₱ 20.00 , ₱ 600.00 , ₱ 21.00 , ₱ 630.00 ,, ₱ 30.00 ,5%,,,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,CLIPBOARD,3, ₱ 35.00 , ₱ 105.00 , ₱ 45.00 , ₱ 135.00 ,, ₱ 30.00 ,22%,,,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,CLEANING MATERIALS,RAGS COLORED,70, ₱ 35.00 ," ₱ 2,450.00 ", ₱ 50.00 ," ₱ 3,500.00 ",," ₱ 1,050.00 ",30%,,,,,,.,,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,CLEANING MATERIALS,RAGS WHITE,70, ₱ 60.00 ," ₱ 4,200.00 ", ₱ 70.00 ," ₱ 4,900.00 ",, ₱ 700.00 ,14%,,,,,,.,,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,CLEANING MATERIALS,BROOM,3, ₱ 120.00 , ₱ 360.00 , ₱ 180.00 , ₱ 540.00 ,, ₱ 180.00 ,33%,,01/24/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,GLUE STICK BIG,80, ₱ 5.00 , ₱ 400.00 , ₱ 7.00 , ₱ 560.00 ,, ₱ 160.00 ,29%,,01/20/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,DOUBLE SIDED TAPE,50, ₱ 18.00 , ₱ 900.00 , ₱ 21.00 ," ₱ 1,050.00 ",, ₱ 150.00 ,14%,,01/24/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,BALLPEN FABER CASTEL BLACK,10, ₱ 4.00 , ₱ 40.00 , ₱ 5.40 , ₱ 54.00 ,, ₱ 14.00 ,26%,,01/24/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,CLEANING MATERIALS,BROOM,4, ₱ 160.00 , ₱ 640.00 , ₱ 180.00 , ₱ 720.00 ,, ₱ 80.00 ,11%,,01/24/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,OFFICE SUPPLY,BALLPEN FABER CASTEL BLACK,30, ₱ 4.00 , ₱ 120.00 , ₱ 5.40 , ₱ 162.00 ,, ₱ 42.00 ,26%,,01/24/2026,,,,,PAMCO,,,,
01/12/2026,015,PHC0414-26010005,CHANGHONG,CLEANING MATERIALS,RAGS COLORED,150, ₱ 35.00 , ₱ 42.00 , ₱ 50.00 ," ₱ 7,500.00 ",," ₱ 7,458.00 ",99%,,,,,,,PAMCO,,,,
,,,,,,,,,,," ₱ 20,313.40 ",,,,,,,,,,,,,
