NAM SUPPLY,,,,,,,,,
PRODUCT,CATEGORY,UNIT,SUPPLIER,SUPPLIER PRICE,NAM PRICE,MARGIN,,CATEGORY,
DOWNY FABRIC CONDITIONER,CM,PC,, ₱ 125.93 , ₱ 170.00 ,35.00%,,,
DOWNY SUNRISE 600ML,CM,PC,, ₱ 158.75 , ₱ 196.25 ,23.62%,,,
DUST PAN,CM,PC,, ₱ 80.00 , ₱ 100.00 ,25.00%,,,
EARPLUG ORANGE/YELLOW,PPE,PC,, ₱ 50.35 , ₱ 76.13 ,51.20%,,,
ELMER'S GLUE ALL MULTIPURPOSE (40G),OS,PC,, ₱ 37.02 , ₱ 50.00 ,35.06%,,,
ENERGIZER BATTERY AA (4 PCS/PACK),OS,PACK,, ₱ 206.20 , ₱ 278.37 ,35.00%,,,
ENERGIZER BATTERY AAA (4 PCS/PACK),OS,PACK,, ₱ 249.50 , ₱ 336.83 ,35.00%,,,
EPSON INK 001 (BLACK),OS,BOTTLE,, ₱ 575.00 , ₱ 776.25 ,35.00%,,,
"EPSON INK 001 (CYAN, MAGENTA, YELLOW)",OS,BOTTLE,, ₱ 430.00 , ₱ 580.50 ,35.00%,,,
EPSON INK 003 (BLACK),,,,,,,,,
"EPSON INK 003 (CYAN, MAGENTA, YELLOW)",OS,BOTTLE,, ₱ 310.00 , ₱ 405.65 ,30.85%,,,
EPSON INK 664 (BLACK),,,,,,,,,
"EPSON INK 664 (CYAN, MAGENTA, YELLOW)",OS,BOTTLE,, ₱ 305.00 , ₱ 405.65 ,33.00%,,,
"EPSON INK CARTRIDGE LK-4YB (YELLOW, WHITE) 12MM X 9M",OS,PACK,, ₱ 500.00 , ₱ 675.00 ,35.00%,,,
EPSON RIBBON CARTRIDGE LQ 310,OS,PC,PC EXPRESS, ₱ 190.00 , ₱ 256.50 ,35.00%,,,
ERASER,OS,PC,, ₱ 20.00 , ₱ 25.00 ,25.00%,,,
ESP32 ESP32S 18650 BATTERY CHARGE SHIELD BOARD V3 MICRO USB PORT TYPE-A USB 0.5A,OS,PC,SHOPEE, ₱ 130.00 , ₱ 175.50 ,35.00%,,,
