NAM SUPPLY,,,,,,,,,
PRODUCT,CATEGORY,UNIT,SUPPLIER,SUPPLIER PRICE,NAM PRICE,MARGIN,,CATEGORY,
UGREEN-HDMI 2.0 MALE TO MALE CABLE HD104/10109 5M BLACK, OS ,PC,PC EXPRESS, ₱ 669.00 , ₱ 903.15 ,35.00%,,,
"UK OFFICE CLIPS 2""", OS ,BOX,, ₱ -   , ₱ -   ,#DIV/0!,,,
UK OFFICE L-TYPE FOLDER PLASTIC CLEAR LONG (12 PCS/PACK), OS ,PACK,, ₱ 84.00 , ₱ 113.40 ,35.00%,,,
VALIANT RECORD BOOK 150 PAGES,OS,PC,FORMOSA, ₱ 45.00 , ₱ 60.75 ,35.00%,,,
VALIANT RECORD BOOK 300 PAGES,OS,PC,PAMCO, ₱ 45.00 , ₱ 60.75 ,35.00%,,,
VALIANT RECORD BOOK 500 PAGES,OS,PC,FORMOSA, ₱ 95.00 , ₱ 128.25 ,35.00%,,,
VALIANT TIMECARD,OS,PACK,, ₱ 80.00 , ₱ 108.00 ,35.00%,,,
VECO STICKER PAPER MATTE A4 (10 SHEETS/PACK), OS ,PACK,, ₱ 35.00 , ₱ 47.25 ,35.00%,,,
VECO VELLUM BOARD A4 10 PIECES PER PACK,OS,PACK,, ₱ 39.00 , ₱ 47.00 ,20.51%,,,
VECO VELLUM BOARD LONG 10 PIECES PER PACK,OS,PACK,, ₱ 60.00 , ₱ 81.00 ,35.00%,,,
VENTION 7 IN 1 USB-C (DOCKING STATION),OS,PC,PC EXPRESS," ₱ 1,285.00 "," ₱ 1,734.75 ",35.00%,,,
VENTION COTTON BRAIDED HDMI 5M CABLE, OS ,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
VINYL COATED CLIPS, OS ,PC,, ₱ 10.00 , ₱ 12.50 ,25.00%,,,
VINYL PAPER CLIP 50MM,OS,PC,, ₱ 9.00 , ₱ 15.00 ,66.67%,,,
VUNGUARD (1 LITER),CM,PC,, ₱ 90.00 , ₱ 150.00 ,66.67%,,,
WELDING APRON,PPE,ROLL,, ₱ 415.35 , ₱ 628.01 ,51.20%,,,
WELDING APRON WITH SLEEVES,PPE,ROLL,, ₱ 515.35 , ₱ 779.21 ,51.20%,,,
WELDING MASK,PPE,ROLL,, ₱ 300.00 , ₱ 453.60 ,51.20%,,,
WELDING ROD 6011 3.2,TE,PC,, ₱ 230.00 , ₱ 270.00 ,17.39%,,,
WELLS NICKEL PAPER CLIP #33MM,OS,BOX,, ₱ 7.92 , ₱ 9.90 ,25.00%,,,
WELLS NICKEL PAPER CLIP #50MM,OS,BOX,, ₱ -   , ₱ -   ,#DIV/0!,,,
WHITE FOLDER A4,OS,PC,FORMOSA, ₱ 3.30 , ₱ 4.73 ,43.33%,,,
WHITE FOLDER LONG,OS,PC,FORMOSA, ₱ 6.00 , ₱ 9.00 ,50.00%,,,
WHITE FOLDER SHORT,OS,PC,FORMOSA, ₱ 3.30 , ₱ 4.73 ,43.33%,,,
WHITE MAILING ENVELOPE SHORT 50 PIECES PER PACK,OS,PACK,, ₱ 44.00 , ₱ 59.40 ,35.00%,,,
WHITE SAND,MA,UNIT,," ₱ 3,600.00 "," ₱ 5,443.20 ",51.20%,,,
WHITEBOARD ERASER,OS,PC,, ₱ 18.00 , ₱ 23.94 ,33.00%,,,
WHITEBOARD MARKER,OS,PC,, ₱ 50.00 , ₱ 67.50 ,35.00%,,,
WHITEBOARD MARKER (BLACK),OS,PC,, ₱ 20.00 , ₱ 28.35 ,41.75%,,,
RAPOO E1050 MULTI MODE WIRELESS KEYBOARD (BLACK),OS,PC,TIKTOK - RAPOO PHILIPPINES, ₱ 534.00 ," ₱ 1,012.50 ",89.61%,,,
RAPOO M216 WIRELESS MOUSE (BLACK),OS,PC,PC EXPRESS, ₱ 300.00 , ₱ 405.00 ,35.00%,,,
YDS HIGH CUT SAFETY SHOES,PPE,PC,, ₱ 900.00 ," ₱ 1,360.80 ",51.20%,,,
YDS LOW CUT SAFETY SHOES,PPE,PC,, ₱ 900.00 ," ₱ 1,360.80 ",51.20%,,,
YUASA BATTERY NP 7-12,OS,PC,SHOPEE (HTTPS://SHOPEE.PH/PRODUCT/1386942499/44401910758)," ₱ 2,085.00 "," ₱ 2,814.75 ",35.00%,,,
ZEBRA MARKER (ROHS) BLACK,OS,PC,SHOPEE (HTTPS://SHOPEE.PH/ZEBRA-DOUBLE-TIP-PERMANENT-MARKER-BLACK-MO-120-I.489304202.25020982936?), ₱ 89.00 , ₱ 118.37 ,33.00%,,,
ZEBRA PERMANENT MARKER (BLACK),OS,PC,, ₱ 89.00 , ₱ 120.15 ,35.00%,,,
ZIPLOCK NO. 01,CO,KG,, ₱ 25.00 , ₱ 33.25 ,33.00%,,,
ZIPLOCK NO. 02,CO,UNIT,, ₱ 35.00 , ₱ 46.55 ,33.00%,,,
ZIPLOCK NO. 03,CO,UNIT,, ₱ 45.00 , ₱ 59.85 ,33.00%,,,
ZIPLOCK NO. 04,CO,UNIT,, ₱ 55.00 , ₱ 73.15 ,33.00%,,,
ZIPLOCK NO. 05,CO,UNIT,, ₱ 70.00 , ₱ 93.10 ,33.00%,,,
ZIPLOCK NO. 06,CO,UNIT,, ₱ 110.00 , ₱ 146.30 ,33.00%,,,
ZIPLOCK NO. 07,CO,UNIT,, ₱ 120.00 , ₱ 159.60 ,33.00%,,,
ZIPLOCK NO. 08,CO,UNIT,, ₱ 170.00 , ₱ 226.10 ,33.00%,,,
ZIPLOCK NO. 09,CO,UNIT,, ₱ 200.00 , ₱ 266.00 ,33.00%,,,
ZIPLOCK NO. 10,CO,UNIT,, ₱ 330.00 , ₱ 438.90 ,33.00%,,,
ZIPLOCK NO. 11,CO,UNIT,, ₱ 400.00 , ₱ 532.00 ,33.00%,,,
ZIPLOCK NO. 12,CO,UNIT,, ₱ 500.00 , ₱ 665.00 ,33.00%,,,
ZONROX BLEACH COLORSAFE 1000ML,CM,GALLON,, ₱ 275.00 , ₱ 371.25 ,35.00%,,,
ZONROX BLEACH ORIGINAL 1000ML,CM,GALLON,, ₱ 253.00 , ₱ 341.55 ,35.00%,,,
ZYXEL SWITCH PORT (5 PORT),OS,PC,LAZADA (HTTPS://WWW.LAZADA.COM.PH/PRODUCTS/ZYXEL-NETWORK-SWITCH-SERIES-5-PORT-8-PORT-GIGABIT-RJ45-ETHERNET-101001000MBPS-SWITCH-HUB-POENON-POE-I3331737188-S26418998158.HTML?)," ₱ 1,320.00 "," ₱ 1,782.00 ",35.00%,,,
ZYXEL SWITCH PORT (8 PORT),OS,PC,LAZADA (HTTPS://WWW.LAZADA.COM.PH/PRODUCTS/ZYXEL-NETWORK-SWITCH-SERIES-5-PORT-8-PORT-GIGABIT-RJ45-ETHERNET-101001000MBPS-SWITCH-HUB-POENON-POE-I3331737188-S26418998158.HTML?)," ₱ 2,040.00 "," ₱ 2,754.00 ",35.00%,,,
"HOSPITAL BED WITH IVY POLE, MATTRESS AND BED TABLE",MD,,,," ₱ 17,550.00 ",#DIV/0!,,,
WHEELCHAIR,MD,,,," ₱ 5,265.00 ",#DIV/0!,,,
STRETCHER,MD,,,," ₱ 4,725.00 ",#DIV/0!,,,
CLEAR ACRYLIC FOR A4 (DOUBLE) 3MM WITH 4 PIECES ADVERTISING BOLT,FF,,, ₱ 485.00 , ₱ 607.50 ,25.26%,,,
CLEAR ACRYLIC FOR 34 (DOUBLE) 3MM WITH 4 PIECES ADVERTISING BOLT,FF,,, ₱ 950.00 ," ₱ 1,215.00 ",27.89%,,,
GLASS CABINET 2M X 2M X 30CM,FF,,," ₱ 42,000.00 "," ₱ 53,900.00 ",28.33%,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
,,,,,,#DIV/0!,,,
